1,2,3,4,5,6,7,8,9,10,11,12,
39290.34225680157,8365.885416666668,-6315.907921810702,-11824.521944301556,2620.442708333334,-5664.866255144036,-5322.254461734112,3199.1464120370374,-2051.1831275720174,-22143.565850765888,7787.181712962964,-1400.1414609053506,1
8365.885416666668,4400.077160493828,-520.8333333333335,2620.442708333334,1459.2978395061732,0.0,-3199.1464120370374,1100.019290123457,0.0,-7787.181712962964,1829.6682098765434,0.0,2
-6315.907921810702,-520.8333333333335,3711.419753086421,3625.5144032921835,0.0,1386.9598765432106,1030.9499314128948,0.0,927.8549382716053,-1400.1414609053506,0.0,918.2098765432103,3
-11824.521944301556,2620.442708333334,3625.5144032921835,39290.34225680157,8365.885416666668,6315.907921810702,-22143.565850765888,7787.181712962964,1400.1414609053506,-5322.254461734112,3199.1464120370374,2051.1831275720174,4
2620.442708333334,1459.2978395061732,0.0,8365.885416666668,4400.077160493828,520.8333333333335,-7787.181712962964,1829.6682098765434,0.0,-3199.1464120370374,1100.019290123457,0.0,5
-5664.866255144036,0.0,1386.9598765432106,6315.907921810702,520.8333333333335,3711.419753086421,1400.1414609053506,0.0,918.2098765432103,-2051.1831275720174,0.0,927.8549382716053,6
-5322.254461734112,-3199.1464120370374,1030.9499314128948,-22143.565850765888,-7787.181712962964,1400.1414609053506,39290.34225680157,-8365.885416666668,6315.907921810702,-11824.521944301556,-2620.442708333334,5664.866255144036,7
3199.1464120370374,1100.019290123457,0.0,7787.181712962964,1829.6682098765434,0.0,-8365.885416666668,4400.077160493828,-520.8333333333335,-2620.442708333334,1459.2978395061732,0.0,8
-2051.1831275720174,0.0,927.8549382716053,1400.1414609053506,0.0,918.2098765432103,6315.907921810702,-520.8333333333335,3711.419753086421,-5664.866255144036,0.0,1386.9598765432106,9
-22143.565850765888,-7787.181712962964,-1400.1414609053506,-5322.254461734112,-3199.1464120370374,-2051.1831275720174,-11824.521944301556,-2620.442708333334,-5664.866255144036,39290.34225680157,-8365.885416666668,-6315.907921810702,10
7787.181712962964,1829.6682098765434,0.0,3199.1464120370374,1100.019290123457,0.0,-2620.442708333334,1459.2978395061732,0.0,-8365.885416666668,4400.077160493828,520.8333333333335,11
-1400.1414609053506,0.0,918.2098765432103,2051.1831275720174,0.0,927.8549382716053,5664.866255144036,0.0,1386.9598765432106,-6315.907921810702,520.8333333333335,3398.919753086421,12
